"compound";"filename";"sample";"instrument";"category.1";"category.2";"category.3";"rt.1D";"rt.2D";"formula";"comment"
"dichlorodiphenyltrichloroethane (DDT)";"ddt";"southern CA sea lion blubber";"GCxGC-TOF, electron impact, 70 eV";"anthropogenic";"DDT related";"match to NIST 2008 library";1452;0.92;"C14H9Cl5";"Isomer unknown."
"dichlorodiphenyldichloroethylene (DDE)";"dde";"southern CA sea lion blubber";"GCxGC-TOF, electron impact, 70 eV";"anthropogenic";"DDT related";"match to NIST 2008 library";1386;0.87;"C14H8Cl4";"Possibly 3 isomers detected; one shown.  There were problems deconvoluting the large DDE peak. "
"dichlorodiphenyldichloroethane (DDD) isomer 1";"ddd1";"southern CA sea lion blubber";"GCxGC-TOF, electron impact, 70 eV";"anthropogenic";"DDT related";"match to NIST 2008 library";1410;0.91;"C14H10Cl4";"Isomer unknown."
"dichlorodiphenyldichloroethane (DDD) isomer 2";"ddd2";"southern CA sea lion blubber";"GCxGC-TOF, electron impact, 70 eV";"anthropogenic";"DDT related";"match to NIST 2008 library";1413;0.93;"C14H10Cl4";"Isomer unknown."
"1-chloro-2,2-bis(chlorophenyl)ethene (DDMU) isomer 1";"ddmu1";"southern CA sea lion blubber";"GCxGC-TOF, electron impact, 70 eV";"anthropogenic";"DDT related";"match to NIST 2008 library";1257;0.86;"C14H9Cl3";"Isomer unknown."
"1-chloro-2,2-bis(chlorophenyl)ethene (DDMU) isomer 2";"ddmu2";"southern CA sea lion blubber";"GCxGC-TOF, electron impact, 70 eV";"anthropogenic";"DDT related";"match to NIST 2008 library";1326;0.88;"C14H9Cl3";"Isomer unknown."
"bis(chlorophenyl)ethane (DDEt)";"ddet";"southern CA sea lion blubber";"GCxGC-TOF, electron impact, 70 eV";"anthropogenic";"DDT related";"match to NIST 2008 library";1218;0.83;"C14H12Cl2";"Isomer unknown. Reference: Environ. Sci. Technol., 2003, 37, 488-495, doi:10.1021/es0201451"
"dichlorobenzophenone (DBP)";"dbp";"southern CA sea lion blubber";"GCxGC-TOF, electron impact, 70 eV";"anthropogenic";"DDT related";"match to NIST 2008 library";1266;0.88;"C13H8Cl2O";"Isomer unknown. Reference: Environ. Sci. Technol., 2003, 37, 488-495, doi:10.1021/es0201451"
"tris(chlorophenyl)methane isomer 1";"tcpm1";"southern CA sea lion blubber";"GCxGC-TOF, electron impact, 70 eV";"anthropogenic";"DDT related";"manual identification";1557;0.96;"C19H13Cl3";"Reference: Environ. Sci. Technol. 1995, 29, 2133-2139.  At least one 2-chloro ring based on 235/239 ratio."
"tris(chlorophenyl)methane isomer 2";"tcpm2";"southern CA sea lion blubber";"GCxGC-TOF, electron impact, 70 eV";"anthropogenic";"DDT related";"manual identification";1596;1.03;"C19H13Cl3";"Reference: Environ. Sci. Technol. 1995, 29, 2133-2139. Only 3/4-chloro ring based on 235/239 ratio."
"dichlorophenylacetylene (DCPA) (tentative)";"dcpa";"southern CA sea lion blubber";"GCxGC-TOF, electron impact, 70 eV";"anthropogenic";"DDT related";"match to NIST 2008 library";1296;0.86;"C14H8Cl2";"Likely ID based on: ES&T, 1996, 30, 3401-3407.  Matches in NIST library: CAS 605-48-1, 76905-732, 835-17-6, 1820-42-4."
"hexachlorocyclohexane (HCH)";"hch";"southern CA sea lion blubber";"GCxGC-TOF, electron impact, 70 eV";"anthropogenic";"legacy pesticide";"match to NIST 2008 library";1125;0.88;"C6H6Cl6";"NA"
"heptachlor epoxide";"heptachlorepoxide";"southern CA sea lion blubber";"GCxGC-TOF, electron impact, 70 eV";"anthropogenic";"legacy pesticide";"match to NIST 2008 library";1305;0.87;"C10H5Cl7O";"NA"
"nonachlor";"nonachlor";"southern CA sea lion blubber";"GCxGC-TOF, electron impact, 70 eV";"anthropogenic";"legacy pesticide";"match to NIST 2008 library";1347;0.84;"C10H5Cl9";"Isomer unknown."
"oxychlordane";"oxychlordane";"southern CA sea lion blubber";"GCxGC-TOF, electron impact, 70 eV";"anthropogenic";"legacy pesticide";"match to NIST 2008 library";1308;0.84;"C10H4Cl8O";"NA"
